[SENSOR][DROP] PAYLOAD | age=13.707ms
[SENSOR][DROP] PAYLOAD | age=1.318ms
[SENSOR][DROP] PAYLOAD | age=29.016ms
[SENSOR][DROP] PAYLOAD | age=40.093ms
[SENSOR][JITTER_WARN] THERMAL cycle=595 jitter=1529.0µs > budget=1000.0µs
[SENSOR][JITTER_WARN] THERMAL cycle=596 jitter=1530.0µs > budget=1000.0µs
[SENSOR][DROP] PAYLOAD | age=9.575ms
[SENSOR][DROP] PAYLOAD | age=1.452ms
[SENSOR][DROP] PAYLOAD | age=23.613ms
[SENSOR][JITTER_WARN] THERMAL cycle=605 jitter=3109.0µs > budget=1000.0µs
[SENSOR][JITTER_WARN] THERMAL cycle=606 jitter=2439.0µs > budget=1000.0µs
[SENSOR][DROP] PAYLOAD | age=9.983ms
[SENSOR][DROP] PAYLOAD | age=1.225ms
[SENSOR][DROP] PAYLOAD | age=20.513ms
[SENSOR][DROP] PAYLOAD | age=4.109ms
[SENSOR][DROP] PAYLOAD | age=14.073ms
[SENSOR][DROP] PAYLOAD | age=1.198ms
[SENSOR][DROP] PAYLOAD | age=30.822ms
[SENSOR][DROP] PAYLOAD | age=40.939ms
[SENSOR][DROP] PAYLOAD | age=4.168ms
[SENSOR][DROP] PAYLOAD | age=2.181ms
[SENSOR][DROP] PAYLOAD | age=19.709ms
[SENSOR][DROP] PAYLOAD | age=29.364ms
[SENSOR][DROP] PAYLOAD | age=1.346ms
[SENSOR][DROP] PAYLOAD | age=43.232ms
[SENSOR][DROP] PAYLOAD | age=54.325ms
[SENSOR][DROP] PAYLOAD | age=1.604ms
[SENSOR][DROP] PAYLOAD | age=1.205ms
[SENSOR][DROP] PAYLOAD | age=18.994ms
[SENSOR][DROP] PAYLOAD | age=27.558ms
[SENSOR][DROP] PAYLOAD | age=1.110ms
[SENSOR][DROP] PAYLOAD | age=41.960ms
[SENSOR][DROP] PAYLOAD | age=52.650ms
[SENSOR][DROP] PAYLOAD | age=1.443ms[SENSOR][DROP] PAYLOAD | age=9.357ms

